TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
cum_on_own_tongue | Ejaculate visibly on the own tongue, the cum coating the surface as the noted feature. | head:mouth
cum_on_penis | Ejaculate coating a penis, whether one's own or a partner's. | genitalia:male
cum_on_pussy | Ejaculate coating the vulva, external rather than internal deposit. | genitalia:female
cum_on_tail | Ejaculate visibly on the tail, the cum coating the surface as the noted feature. | anatomy:tail
cum_on_vulva | Ejaculate coating the vulva, external deposit on the external genitalia. | genitalia:female
cum_through_clothing | Cum through clothing, the cum through clothing as the noted anatomy or body feature. | clothing:general
cum_through_underwear | Cum through underwear, the cum through underwear as the noted anatomy or body feature. | clothing:general
curled_horn | A curled horn on the character, the species-style head horn as the feature. | head:general
curled_horns | A curled pair of horns on the character, the horned head anatomy as the feature. | head:general
curling_tail | A curling-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
curved_horn | A curved horn on the character, the species-style head horn as the feature. | head:general
curved_penis | A penis with a visible bend or curve rather than straight. | genitalia:male
curved_tail | A curved-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
dark-skinned_female | Female character with dark skin tone, applied to humans or to anthros whose visible skin (not fur) reads as dark. | gender
dark-skinned_male | Male character with dark skin tone, applied to humans or to anthros whose visible skin (not fur) reads as dark. | gender
dark_clothing | Dark-coloured clothing, the dark clothing as the noted anatomy or body feature. | clothing:general
dark_penis | A penis rendered in a dark colour, the shade the noted variant. | genitalia:male
darkened_balls | Testicles shaded or rendered deliberately darker than the surrounding body. | genitalia:male
darkened_penis | A penis shaded or rendered deliberately darker than the surrounding body. | genitalia:male
darkened_vulva | A vulva shaded or rendered deliberately darker than the surrounding body. | genitalia:female
deathclaw | A Fallout universe creature, hulking reptilian mutant with massive clawed hands. | species:other
deep_skin | Deep dark skin tone on the visible body, the rich colouration the noted feature. | coat:colour
deer_antlers | Deer-style antlers, the deer antlers as the noted anatomy or body feature. | head:general
deer_tail | A deer-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
demon_horns | A demon pair of horns on the character, the horned head anatomy as the feature. | head:general
demon_tail | A demon-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
demon_wings | Bat-style leathery wings in the demonic aesthetic, clawed at the top spar. | anatomy:fantasy
denim_clothing | Denim clothing, the denim clothing as the noted anatomy or body feature. | clothing:general
denim_shorts | Denim shorts, the denim shorts as the noted anatomy or body feature. | clothing:general
detached_sheath | A genital sheath shown separate from the body, fantasy or detached anatomy. | genitalia:male
detached_wings | Wings floating near the body without visible attachment, magical or fantasy anatomy. | anatomy:fantasy
detailed_anus | Detailed anus on the character, the rear opening feature as the noted detail. | anatomy:rear
detailed_bulge | A carefully-rendered clothed bulge showing visible shape of the penis through fabric. | genitalia:male
detailed_fur | Highly detailed fur rendering, every strand or tuft individually drawn for texture. | coat:colour
dewclaw | Dewclaw on limb, the dewclaw as the noted anatomy or body feature. | anatomy:limbs
dewclaw_hooves | Dewclaw hooves, the dewclaw hooves as the noted anatomy or body feature. | anatomy:limbs
diagonal-striped_bowtie | Diagonal-striped bowtie, the diagonal-striped bowtie as the noted anatomy or body feature. | clothing:general
diagonal-striped_clothes | Diagonal-striped clothes, the diagonal-striped clothes as the noted anatomy or body feature. | clothing:general
diagonal-striped_necktie | Diagonal-striped necktie, the diagonal-striped necktie as the noted anatomy or body feature. | clothing:general
diaper_under_clothing | Diaper under clothing, the diaper under clothing as the noted anatomy or body feature. | clothing:general
digimon_(species) | A species from the Digimon franchise, the digital monsters as character type. | species:other
dildo_in_vagina | A dildo currently inserted in a vagina, visible during use. | genitalia:female
dipstick_tail | A dipstick-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
dirty_clothing | Dirty clothing, the dirty clothing as the noted anatomy or body feature. | clothing:general
discarded_clothing | Discarded clothing, the discarded clothing as the noted anatomy or body feature. | clothing:general
disembodied_penis | A penis visible in frame without the body attached to it, detached or off-screen owner. | genitalia:male
dog_penis | A dog-style penis with knot, pointed tip, and species-specific anatomy. | genitalia:male
dog_tail | A dog-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
dolphin_shorts | Dolphin shorts, the dolphin shorts as the noted anatomy or body feature. | clothing:general
dragon's_crown | Dragon's crown, the dragon's crown as the noted anatomy or body feature. | clothing:general
dragon_ball | Reference to the Dragon Ball franchise, scene drawing on its characters or setting. | species:mythical
dragon_ball_(classic) | Reference to the original Dragon Ball series specifically, pre-Z era. | species:mythical
dragon_ball_fighterz | Reference to the Dragon Ball FighterZ game, scene drawing on its style or roster. | species:mythical
dragon_ball_gt | Reference to Dragon Ball GT, scene drawing on its characters or events. | species:mythical
dragon_ball_super | Reference to Dragon Ball Super, scene drawing on its characters or events. | species:mythical
dragon_ball_super_broly | Reference to the Dragon Ball Super Broly film, scene drawing on its characters. | species:mythical
dragon_ball_z | Reference to Dragon Ball Z, scene drawing on its characters or setting. | species:mythical
dragon_bean_(arknights) | Reference to the Arknights character Dragon Bean, scene drawing on her design. | species:mythical
dragon_boy | A young male dragon character, the age and species as framing. | species:mythical
dragon_ears | Dragon ears on the character, the ear style or colour as the noted feature. | head:ears
dragon_girl | A young female dragon character, the age and species as framing. | species:mythical
dragon_humanoid | A humanoid with dragon features on a human-shaped body, scales, horns, or wings on humanoid frame. | species:other
dragon_koopa | A Koopa character with added dragon traits, Mario-series fusion design. | species:mythical
dragon_print | A pattern featuring dragon imagery on fabric or surface, printed design rather than live dragon. | species:mythical
dragon_quest | Reference to the Dragon Quest series, scene drawing on its characters or setting. | species:mythical
dragon_quest_builders_2 | Reference to Dragon Quest Builders 2, scene drawing on its characters or setting. | species:mythical
dragon_quest_ii | Reference to Dragon Quest II specifically, scene drawing on that game. | species:mythical
dragon_quest_iii | Reference to Dragon Quest III specifically, scene drawing on that game. | species:mythical
dragon_quest_iv | Reference to Dragon Quest IV specifically, scene drawing on that game. | species:mythical
dragon_quest_v | Reference to Dragon Quest V specifically, scene drawing on that game. | species:mythical
dragon_quest_viii | Reference to Dragon Quest VIII specifically, scene drawing on that game. | species:mythical
dragon_quest_x | Reference to Dragon Quest X specifically, scene drawing on that game. | species:mythical
dragon_quest_xi | Reference to Dragon Quest XI specifically, scene drawing on that game. | species:mythical
dragonfly | A dragonfly species character, four-winged predatory insect with a long slender abdomen. | species:insect
drill_ponytail | A drill ponytail with curled spiral strands, the elaborate corkscrew hairstyle the feature. | hair:style
drinking_cum | A character swallowing ejaculate, cum drunk from mouth, penis, or container. | genitalia:male
dripping_vulva | A vulva with fluid visibly dripping, arousal or cum leaking out. | genitalia:female
duffel_coat | A duffel coat garment, the toggle-fastened heavy hooded coat as worn outerwear. | coat:colour
dust:_an_elysian_tail | A dust: an elysian-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
east_asian_clothing | East asian clothing, the east asian clothing as the noted anatomy or body feature. | clothing:general
eastern_dragon_horns | A eastern dragon pair of horns on the character, the horned head anatomy as the feature. | head:general
eastern_dragon_tail | A eastern dragon-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
egg_from_vagina | An egg emerging from a vagina, oviposition in progress. | genitalia:female
egg_in_ass | Egg in ass or buttocks on the character, the rear feature as the noted detail. | anatomy:rear
egyptian_clothing | Egyptian clothing, the egyptian clothing as the noted anatomy or body feature. | clothing:general
elbow_feathers | Feathers specifically at the elbow of the character, plumage at the joint. | coat:colour
elder_dragon | A dragon character of ancient age or legendary status, larger and more powerful than standard dragons. | species:mythical
elderly_anthro | An anthro character visibly elderly, age markers on the species form. | species:other
elderly_female | Elderly female character with visible signs of age — grey or white fur, softer body, senior posture. | age
elderly_male | Elderly male character with visible signs of age — grey fur, slower carriage, age-marked features. | age
electric_plug_tail | A electric plug-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
ender_dragon | The Ender Dragon boss from Minecraft, the End dimension's final enemy. | species:mythical
energy_wings | Wings made of pure energy or light rather than physical material. | anatomy:fantasy
equid_humanoid | A humanoid with equid (horse, zebra) features on a human-shaped body. | species:other
equid_taur | A taur character with equid body as the lower quadruped portion, classic centaur form. | species:other
equine_vulva | An equine horse-style vulva, large and positioned further back than humanoid anatomy. | genitalia:female
erect_nipples | Erect nipples on the character, the nipple feature as the noted detail. | anatomy:torso
erection_under_clothing | Erection under clothing, the erection under clothing as the noted anatomy or body feature. | clothing:general
excessive_genital_fluids | Excessive genital fluids, the excessive genital fluids as the noted anatomy or body feature. | anatomy:general
exposed_breasts | Exposed breasts on the character, the breast feature as the noted detail. | anatomy:torso
exposed_butt | Exposed buttocks on the character, the rear feature as the noted detail. | anatomy:rear
eyepatch | Eyepatch, the eyepatch as the noted anatomy or body feature. | clothing:general
eyepatch_bikini | Eyepatch bikini, the eyepatch bikini as the noted anatomy or body feature. | clothing:general
face_between_breasts | Face between breasts on the character, the breast feature as the noted detail. | anatomy:torso
face_in_ass | Face in ass or buttocks on the character, the rear feature as the noted detail. | anatomy:rear
face_in_breasts | Face in breasts on the character, the breast feature as the noted detail. | anatomy:torso
face_to_breasts | Face to breasts on the character, the breast feature as the noted detail. | anatomy:torso
faceless_anthro | An anthro character whose face is deliberately hidden or obscured throughout the scene. | species:other
faceless_feral | A feral character whose face is deliberately hidden or obscured throughout the scene. | species:other
fairy_tail | A fairy-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
fairy_wings | Delicate translucent insect-style wings in the fairy aesthetic, iridescent and small. | anatomy:fantasy
fake_antlers | Fake antlers, the fake antlers as the noted anatomy or body feature. | head:general
fake_claws | Fake claws on the character, the claw feature as the noted detail. | anatomy:limbs
fake_horns | A fake pair of horns on the character, the horned head anatomy as the feature. | head:general
fake_tail | A fake-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
fake_wings | Wings worn as costume accessory rather than natural anatomy, prop wings. | anatomy:fantasy
falling_feathers | Feathers falling through the air around or from the character, drifting plumage in the scene. | coat:colour
fang_(gvh) | Fang (gvh), the fang (gvh) as the noted anatomy or body feature. | head:mouth
fang_out | Fang out, the fang out as the noted anatomy or body feature. | head:mouth
fanged_bangs | Fanged bangs, the fanged bangs as the noted anatomy or body feature. | head:mouth
fanged_wyvern | A wyvern variant with prominent fangs, Monster Hunter-style species subcategory. | species:mythical
fangs_out | Fangs out, the fangs out as the noted anatomy or body feature. | head:mouth
fat_arms | Fat arms on the character, the limb or body feature as the noted detail. | anatomy:limbs
fat_man | Male character with a heavy, padded build, gut prominent, softer face and limbs. | body_type
fat_mons | Prominent, padded mound of flesh at the pubis, fuller and rounder than a standard mons. | body_type
fat_rolls | Visible folds of padded flesh across belly, sides, or back, a signature of heavier body types. | body_type
fatui_coat | A Fatui faction coat from Genshin Impact, the distinctive uniform outerwear. | coat:colour
feather-trimmed_sleeves | Feather-trimmed sleeves, the feather-trimmed sleeves as the noted anatomy or body feature. | clothing:general
feather_boa | A feather boa accessory, long fluffy feather wrap draped around the shoulders. | species:reptile
feather_earrings | Feather earrings, the feather earrings as the noted anatomy or body feature. | clothing:general
feather_hair | Hair made of feathers rather than strands, the avian-style head-feathering the feature. | hair:colour
feather_hair_ornament | Feather hair ornament, the feather hair ornament as the noted anatomy or body feature. | clothing:general
feather_hands | Feather hands on the character, the limb or body feature as the noted detail. | anatomy:limbs
feather_in_hair | A single feather worn in the hair as ornament, the decorative feather the feature. | hair:colour
feather_trim | Feather trim, the feather trim as the noted anatomy or body feature. | clothing:general
feather_tuft | A small tuft of feathers on the body, distinct cluster of plumage as feature. | coat:colour
feathered_crest | A crest of feathers on the head, raised plume as decorative or display anatomy. | coat:colour
feathered_dinosaur | A dinosaur character drawn with feathers, the modern paleontology depiction. | coat:colour
feathered_dragon | A dragon with feathers rather than or in addition to scales, Quetzalcoatl-style aesthetic. | species:mythical
feathered_scalie | A feathered scalie character, the scaled reptilian-derived form with added feathers. | species:reptile
feathering | Feathered detail on the body, plumage rendered across the surface as feature. | coat:colour
featureless_chest | Featureless chest on the character, the limb or body feature as the noted detail. | anatomy:torso
feces_in_ass | Feces in ass or buttocks on the character, the rear feature as the noted detail. | anatomy:rear
felid_humanoid | A humanoid with felid (cat) features on a human-shaped body. | species:other
felid_taur | A taur character with felid body as the lower quadruped portion. | species:other
feline_vulva | A feline cat-style vulva, positioned higher between the legs with species-specific shape. | genitalia:female
female_anthro | A female anthro character, species and gender both marked. | species:other
female_feral | A female feral character, fully quadrupedal animal-bodied female with no humanoid features. | species:other
female_on_anthro | A female character with an anthro partner, the species-interaction framing. | species:other
female_on_feral | A female character with a feral partner, the species-interaction framing. | species:other
feral_focus | Scene framed with a feral character as the central subject, the feral form foregrounded. | species:other
feral_instincts | A character's feral animal instincts surfacing during the scene, species behaviour overriding humanoid reason. | species:other
feral_on_bottom | A feral character positioned on the bottom during sex, quadruped lower partner. | species:other
feral_on_top | A feral character positioned on top during sex, quadruped upper partner. | species:other
feral_penetrating_female | A feral fully-quadruped animal character penetrating a female partner during sex. | species:other
feral_penetrating_male | A feral fully-quadruped animal character penetrating a male partner during sex. | species:other
feral_pred | A feral character in the vore predator role, quadruped swallowing or absorbing prey. | species:other
feral_prey | A feral character in the vore prey role, quadruped being swallowed or absorbed. | species:other
feral_with_hair | A feral character drawn with mane-like hair, the hair on the quadruped form the feature. | hair:colour
fiery_horns | A fiery pair of horns on the character, the horned head anatomy as the feature. | head:general
fiery_tail | A fiery-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
fiery_wings | Wings made of flame or trailing fire, elemental rather than physical form. | anatomy:fantasy
fish_boy | A male fish-derived character, gills and fins on a humanoid or anthro frame. | species:fish
fish_girl | A female fish-derived character, gills and fins on a humanoid or anthro frame. | species:fish
fish_hair_ornament | A fish-shaped hair ornament accessory, decorative fish-figure clip in the hair. | species:fish
fish_hook | A fish hook visible in the scene, sharp bent metal lure with eye for line. | species:fish
fish_humanoid | A humanoid with fish features on a human-shaped body, gills, fins, or scales on humanoid frame. | species:other
fish_print | A fish-pattern print on fabric or surface, fish imagery as repeating design. | species:fish
fish_skeleton | A skeletal fish remnant, either creature or prop in the scene. | species:mythical
fish_tail | A fish-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
fishnet_armwear | Fishnet armwear, the fishnet armwear as the noted anatomy or body feature. | clothing:general
fishnet_bodystocking | Fishnet bodystocking, the fishnet bodystocking as the noted anatomy or body feature. | clothing:general
fishnet_clothing | Fishnet clothing, the fishnet clothing as the noted anatomy or body feature. | clothing:general
fishnet_gloves | Fishnet gloves, the fishnet gloves as the noted anatomy or body feature. | clothing:general
fishnet_leggings | Fishnet leggings, the fishnet leggings as the noted anatomy or body feature. | clothing:general
fishnet_legwear | Fishnet legwear, the fishnet legwear as the noted anatomy or body feature. | clothing:general
fishnet_pantyhose | Fishnet pantyhose, the fishnet pantyhose as the noted anatomy or body feature. | clothing:general
fishnet_sleeves | Fishnet sleeves, the fishnet sleeves as the noted anatomy or body feature. | clothing:general
fishnet_socks | Fishnet socks, the fishnet socks as the noted anatomy or body feature. | clothing:general
fishnet_thigh_highs | Fishnet thigh highs, the fishnet thigh highs as the noted anatomy or body feature. | clothing:general
fishnet_thighhighs | Fishnet thighhighs, the fishnet thighhighs as the noted anatomy or body feature. | clothing:general
fishnet_top | Fishnet top, the fishnet top as the noted anatomy or body feature. | clothing:general
fishnet_topwear | Fishnet topwear, the fishnet topwear as the noted anatomy or body feature. | clothing:general
fishnets | Fishnets, the fishnets as the noted anatomy or body feature. | clothing:general
flame-tipped_tail | A flame-tipped-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
flashing_breasts | Flashing breasts on the character, the breast feature as the noted detail. | anatomy:torso
flat_ass | Flat ass or buttocks on the character, the rear feature as the noted detail. | anatomy:rear
flower_knot | A decorative flower-shaped knot tied into ribbon or rope, not genital anatomy. | genitalia:male
flowing_hair | Flowing loose hair across the head, the unstyled cascading strands the feature. | hair:colour
fluffy_balls | Testicles covered in fluffy fur, the floof the noted feature. | genitalia:male
fluffy_chest | Fluffy chest on the character, the limb or body feature as the noted detail. | anatomy:torso
fluffy_fur | Fluffy thick fur on the body, voluminous coat the noted texture feature. | coat:colour
fluffy_paws | Fluffy paws on the character, the paw feature as the noted detail. | anatomy:limbs
fluffy_pony_(species) | The Fluffy Pony internet species, small derpy ponies of a specific fan aesthetic. | species:other
flying_fish | A flying fish species character, fish capable of gliding through the air on wing-like fins. | species:fish
fold-over_boots | Fold-over boots, the fold-over boots as the noted anatomy or body feature. | clothing:general
folded_ears | Folded ears on the character, the ear style or colour as the noted feature. | head:ears
folded_hair | Folded hair styled in folded sections, the pleated styling the feature. | hair:colour
folded_ponytail | A folded ponytail with the tail bent back on itself, the doubled-up style the feature. | hair:style
folded_wings | Wings tucked in against the back rather than extended, the resting position. | anatomy:fantasy
food_in_ass | Food in ass or buttocks on the character, the rear feature as the noted detail. | anatomy:rear
food_on_breasts | Food on breasts on the character, the breast feature as the noted detail. | anatomy:torso
foot_on_balls | A foot pressing or resting on testicles, foot-play focused on the sack. | genitalia:male
foot_on_penis | A foot pressing or resting on a penis, foot-play focused on the shaft. | genitalia:male
forearm_muscles | Visibly developed muscle in the forearm, veins and striations showing through the skin. | body_type
foreskin_pull | Foreskin pull, the foreskin pull as the noted anatomy or body feature. | clothing:general
fox_tail | A fox-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
framed_breasts | Framed breasts on the character, the breast feature as the noted detail. | anatomy:torso
freckled_breasts | Freckled breasts on the character, the breast feature as the noted detail. | anatomy:torso
freckled_butt | Freckled buttocks on the character, the rear feature as the noted detail. | anatomy:rear
freckled_chest | Freckled chest on the character, the limb or body feature as the noted detail. | anatomy:torso
freckled_hips | Freckled hips with scattered spots across the hip area, the dappled marking the feature. | coat:pattern
freckled_thighs | Freckled thighs with scattered spots across the thigh area, the dappled marking. | coat:pattern
frilled_shorts | Frilled shorts, the frilled shorts as the noted anatomy or body feature. | clothing:general
frilled_thigh_strap | Frilled thigh strap, the frilled thigh strap as the noted anatomy or body feature. | clothing:general
frilled_thighhighs | Frilled thighhighs, the frilled thighhighs as the noted anatomy or body feature. | clothing:general
frilly_clothing | Frilly clothing, the frilly clothing as the noted anatomy or body feature. | clothing:general
front_ponytail | A front-positioned ponytail, the gathered hair tied at the front rather than back. | hair:style
full_foot_pawpads | Full foot pawpads on the character, the soft paw pad feature as the noted detail. | anatomy:limbs
fully_clothed_anthro | Fully clothed anthro, the fully clothed anthro as the noted anatomy or body feature. | clothing:general
fur-tipped_tail | A fur-tipped-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
fur-trimmed_bikini | Fur-trimmed bikini, the fur-trimmed bikini as the noted anatomy or body feature. | clothing:general
fur-trimmed_boots | Fur-trimmed boots, the fur-trimmed boots as the noted anatomy or body feature. | clothing:general
fur-trimmed_cape | Fur-trimmed cape, the fur-trimmed cape as the noted anatomy or body feature. | clothing:general
fur-trimmed_capelet | Fur-trimmed capelet, the fur-trimmed capelet as the noted anatomy or body feature. | clothing:general
fur-trimmed_cloak | Fur-trimmed cloak, the fur-trimmed cloak as the noted anatomy or body feature. | clothing:general
fur-trimmed_coat | A coat garment trimmed with fur at the cuffs, hood, or hem. | coat:colour
fur-trimmed_dress | Fur-trimmed dress, the fur-trimmed dress as the noted anatomy or body feature. | clothing:general
fur-trimmed_gloves | Fur-trimmed gloves, the fur-trimmed gloves as the noted anatomy or body feature. | clothing:general
fur-trimmed_headwear | Fur-trimmed headwear, the fur-trimmed headwear as the noted anatomy or body feature. | clothing:general
fur-trimmed_hood | Fur-trimmed hood, the fur-trimmed hood as the noted anatomy or body feature. | clothing:general
fur-trimmed_jacket | Fur-trimmed jacket, the fur-trimmed jacket as the noted anatomy or body feature. | clothing:general
fur-trimmed_kimono | Fur-trimmed kimono, the fur-trimmed kimono as the noted anatomy or body feature. | clothing:general
fur-trimmed_legwear | Fur-trimmed legwear, the fur-trimmed legwear as the noted anatomy or body feature. | clothing:general
fur-trimmed_leotard | Fur-trimmed leotard, the fur-trimmed leotard as the noted anatomy or body feature. | clothing:general
fur-trimmed_shirt | Fur-trimmed shirt, the fur-trimmed shirt as the noted anatomy or body feature. | clothing:general
fur-trimmed_shorts | Fur-trimmed shorts, the fur-trimmed shorts as the noted anatomy or body feature. | clothing:general
fur-trimmed_skirt | Fur-trimmed skirt, the fur-trimmed skirt as the noted anatomy or body feature. | clothing:general
fur-trimmed_sleeves | Fur-trimmed sleeves, the fur-trimmed sleeves as the noted anatomy or body feature. | clothing:general
fur-trimmed_thighhighs | Fur-trimmed thighhighs, the fur-trimmed thighhighs as the noted anatomy or body feature. | clothing:general
fur_bikini | Fur bikini, the fur bikini as the noted anatomy or body feature. | clothing:general
fur_boots | Fur boots, the fur boots as the noted anatomy or body feature. | clothing:general
fur_cape | Fur cape, the fur cape as the noted anatomy or body feature. | clothing:general
fur_choker | Fur choker, the fur choker as the noted anatomy or body feature. | clothing:general
fur_cloak | Fur cloak, the fur cloak as the noted anatomy or body feature. | clothing:general
fur_coat | A coat garment made of or trimmed extensively with fur, the pelt-based outerwear. | coat:colour
fur_hat | Fur hat, the fur hat as the noted anatomy or body feature. | clothing:general
fur_jacket | Fur jacket, the fur jacket as the noted anatomy or body feature. | clothing:general
fur_scarf | Fur scarf, the fur scarf as the noted anatomy or body feature. | clothing:general
fur_shawl | A fur shawl draped around the shoulders, the pelt accessory worn as wrap. | coat:texture
fur_trim | Fur trim on the edges of a garment, the pelt edging on collar, cuffs, or hem. | coat:texture
fur_trim_(clothing) | Fur trim (clothing), the fur trim (clothing) as the noted anatomy or body feature. | clothing:general
fur_tuft | A tuft of fur somewhere on the body, the distinct hair patch the noted feature. | coat:texture
furgonomic_bottomwear | Furgonomic bottomwear, the furgonomic bottomwear as the noted anatomy or body feature. | clothing:general
furgonomic_footwear | Furgonomic footwear, the furgonomic footwear as the noted anatomy or body feature. | clothing:general
furgonomic_hat | Furgonomic hat, the furgonomic hat as the noted anatomy or body feature. | clothing:general
furgonomic_headwear | Furgonomic headwear, the furgonomic headwear as the noted anatomy or body feature. | clothing:general
furgonomic_piercing | Furgonomic piercing, the furgonomic piercing as the noted anatomy or body feature. | clothing:general
furisode | Furisode (long-sleeved kimono), the furisode as the noted anatomy or body feature. | clothing:general
furred_dragon | A dragon with fur rather than or in addition to scales, fluffy variant design. | species:mythical
furred_kobold | A kobold drawn with fur rather than scales, the furred reptilian variant. | coat:texture
furred_scalie | A furred scalie character, the scaled reptilian-derived form with added fur. | species:reptile
furret | The Pokemon species Furret, a long-bodied mustelid-styled creature with cream and brown fur and a coiled tail. | species:other
furrowed_eyebrows | Furrowed eyebrows, the furrowed eyebrows as the noted anatomy or body feature. | head:face
furry_balls | Testicles covered in noticeable fur, furry-anatomy feature on the visible scrotum. | genitalia:male
furry_female | A female furry character, the species and gender both the noted feature. | coat:texture
furry_male | A male furry character, the species and gender both the noted feature. | coat:texture
furry_tail | A furry-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
furry_with_furry | Two furry characters together, the same-species furry pairing the framing. | coat:texture
furry_with_non-furry | A furry character with a non-furry partner, the species-divide pairing the framing. | coat:texture
furryfight_chronicles | Reference to the FurryFight Chronicles game series, scene drawing on its setting. | coat:texture
furryratchet | Reference to the artist or character FurryRatchet specifically, the furryratchet as the noted anatomy or body feature. | coat:texture
futa_without_balls | A futanari character with a penis but no testicles, feminine-anatomy plus shaft alone. | genitalia:male
gem_(species) | The Gem species from Steven Universe, sentient mineral beings with projected bodies. | species:other
gender_request | Gender request, the gender request as the noted anatomy or body feature. | clothing:general
ghost_tail | A ghost-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
gigantic_breasts | Gigantic breasts on the character, the breast feature as the noted detail. | anatomy:torso
gigantic_penis | An enormous penis, scale far past realistic, gigantism-level anatomy. | genitalia:male
girthy_penis | A penis with notably thick girth, wider than length would suggest. | genitalia:male
glasses_on_head | Glasses on head, the glasses on head as the noted anatomy or body feature. | clothing:general
glistening_balls | Testicles shown wet or shiny with fluid or sweat, surface reflection the feature. | genitalia:male
glistening_bodily_fluids | Glistening bodily fluids, the glistening bodily fluids as the noted anatomy or body feature. | anatomy:general
glistening_breasts | Glistening breasts on the character, the breast feature as the noted detail. | anatomy:torso
glistening_butt | Glistening buttocks on the character, the rear feature as the noted detail. | anatomy:rear
glistening_clothing | Glistening clothing, the glistening clothing as the noted anatomy or body feature. | clothing:general
glistening_fur | Fur shown glistening with moisture or sheen, wet or oiled coat as the feature. | coat:colour
glistening_knot | A canine-style knot shown wet or shiny with fluid. | genitalia:male
glistening_nipples | Glistening nipples on the character, the nipple feature as the noted detail. | anatomy:torso
glistening_pawpads | Glistening pawpads on the character, the soft paw pad feature as the noted detail. | anatomy:limbs
glistening_penis | A penis shown wet or shiny with fluid, surface reflection emphasised. | genitalia:male
glistening_scales | Scales shown glistening with moisture or sheen, wet or oiled scaled body as feature. | coat:colour
glistening_skin | Skin shown glistening with moisture or sheen, sweat or oil reflecting on the surface. | coat:colour
glistening_tail | A glistening-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
glistening_thighs | Glistening thighs on the character, the limb or body feature as the noted detail. | anatomy:general
glistening_vulva | A vulva shown wet or shiny with fluid, surface reflection emphasised. | genitalia:female
glory_balls | Testicles hanging through a glory hole for anonymous access. | genitalia:male
glowing | Glowing, the glowing as the noted anatomy or body feature. | anatomy:general
glowing_anus | Glowing anus on the character, the rear opening feature as the noted detail. | anatomy:rear
glowing_body | Glowing body, the glowing body as the noted anatomy or body feature. | anatomy:general
glowing_butterfly | A glowing butterfly visible in the scene, magical or bioluminescent insect framing. | species:insect
glowing_cum | Ejaculate that glows with its own light, fantasy or magical fluid. | genitalia:male
glowing_eye | Glowing eye, the glowing eye as the noted anatomy or body feature. | anatomy:general
glowing_flower | Glowing flower, the glowing flower as the noted anatomy or body feature. | anatomy:general
glowing_fur | Fur emitting visible light, magical or bioluminescent coat the noted fantasy feature. | coat:colour
glowing_genitalia | Glowing genitalia, the glowing genitalia as the noted anatomy or body feature. | anatomy:general
glowing_hair | Glowing hair emitting light, magical or fantasy luminescent strands the feature. | hair:colour
glowing_hand | Glowing hand, the glowing hand as the noted anatomy or body feature. | anatomy:general
glowing_horn | A glowing horn on the character, the species-style head horn as the feature. | head:general
glowing_horns | A glowing pair of horns on the character, the horned head anatomy as the feature. | head:general
glowing_mouth | Glowing mouth, the glowing mouth as the noted anatomy or body feature. | anatomy:general
glowing_tattoo | Glowing tattoo, the glowing tattoo as the noted anatomy or body feature. | anatomy:general
glowing_vulva | A vulva radiating its own light, fantasy or magical anatomy illuminated from within. | genitalia:female
glowing_weapon | Glowing weapon, the glowing weapon as the noted anatomy or body feature. | anatomy:general
glowing_wings | Wings emitting visible light, whether from energy, magic, or bioluminescence. | anatomy:fantasy
goat_horns | A goat pair of horns on the character, the horned head anatomy as the feature. | head:general
goat_tail | A goat-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
gold_anklet | Gold-coloured anklet on the character, the colour the noted variant feature. | clothing:general
gold_armlet | Gold-coloured armlet on the character, the colour the noted variant feature. | clothing:general
gold_armor | Gold-coloured armor on the character, the colour the noted variant feature. | clothing:general
gold_belt | Gold-coloured belt on the character, the colour the noted variant feature. | clothing:general
gold_bikini | Gold-coloured bikini on the character, the colour the noted variant feature. | clothing:general
gold_bra | Gold-coloured bra on the character, the colour the noted variant feature. | clothing:general
gold_bracelet | Gold-coloured bracelet on the character, the colour the noted variant feature. | clothing:general
gold_buttons | Gold-coloured buttons on the character, the colour the noted variant feature. | clothing:general
