TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
fedora | A brimmed felt hat with a pinched crown, classic detective-noir silhouette. | meta:prop
fishnet | Net-pattern legwear or clothing with open weave, skin visible through diamonds. | meta:prop
flower_crown | A crown woven from fresh flowers, festival or romantic aesthetic. | meta:prop
flowers | Floral gift or decoration present in the scene, blooms either gifted or arranged. | meta:prop
fox_mask | A kitsune-style decorative mask, typically Japanese with pointed ears. | meta:prop
garter_belt | A belt around the hips with clips descending to hold up stockings. | meta:prop
gas_mask | A breathing-filter mask with filters and eyepieces, protective gear. | meta:prop
genital_jewelry | Decorative jewelry worn on or through the genitals, intimate piercings or attachments. | meta:prop
glasses | Corrective or decorative eyewear with frames and lenses, sitting on the bridge of the nose. | meta:prop
gloves | Hand coverings, dress, working, or fetish depending on style. | meta:prop
grimoire | A book of magical spells, often leather-bound and ancient. | meta:prop
gun | A firearm weapon, general tag for any gun type. | meta:prop
hair_clip | A decorative or functional clip holding hair in place. | meta:prop
hair_ribbon | A ribbon tied into the hair, often in a bow. | meta:prop
hat | A general head covering hat, any style of brimmed or fitted headwear. | meta:prop
headband | A fabric or elastic band worn around the head, holding hair back. | meta:prop
helix_piercing | A piercing through the outer cartilage rim of the upper ear. | meta:prop
high_heels | Footwear with elevated heels, the foot angled upward and the calf pushed taut. | meta:prop
honey | Honey present in the scene as food or sensual body-decoration element, sticky and golden. | meta:prop
hoodie | A hooded sweatshirt, casual comfortable hoodie wear with a drawstring hood. | meta:prop
hookah | A water pipe for smoking flavoured tobacco, communal or solo. | meta:prop
ice_cream | Ice cream present in the scene as treat or sensually-framed dessert, often suggestively used. | meta:prop
incense | Burning incense releasing scented smoke, atmosphere or ritual prop. | meta:prop
industrial_piercing | A bar threaded through two piercings along the upper ear cartilage. | meta:prop
jacket | An outerwear jacket garment covering the torso and arms, the layer over a shirt or top. | meta:prop
jockstrap | An athletic undergarment supporting the genitals, also worn as fetish wear. | meta:prop
joint | A character smoking a rolled cannabis joint, hand-rolled and burning at the tip. | meta:prop
key | A key present as symbol or plot element, unlocking something. | meta:prop
kilt | A Scottish-style pleated skirt garment traditionally worn by men. | meta:prop
labret | A stud piercing below the lower lip centre, small bead visible against the skin. | meta:prop
latex_clothing | Tight-fitting latex or rubber garments, shiny and skin-clinging fetish-aesthetic clothing. | meta:prop
leash_accessory | A lead worn with a collar, leash present as part of the outfit. | meta:prop
leather_leash | A leash made of leather, classic BDSM or pet-play accessory. | meta:prop
leotard | A one-piece fitted bodysuit covering the torso, legs bare. | meta:prop
letter | A written letter or note present in the scene. | meta:prop
lip_ring | A ring piercing through the lip, hoop or captive-bead visible on the mouth. | meta:prop
locket | A small hinged pendant opening to reveal a photo or keepsake inside. | meta:prop
loincloth | A minimal lower-body covering wrapped at the waist, hanging strip of fabric. | meta:prop
mace | A blunt striking weapon, spiked metal ball on a handle. | meta:prop
maid_outfit | A maid costume, typically black-and-white with apron, often sexualised. | meta:prop
map | A map present as adventure or plot element, charting a location. | meta:prop
mask | A face covering, decorative, protective, or concealing depending on context. | meta:prop
masquerade_mask | An ornate party mask covering the upper face, classic ball aesthetic. | meta:prop
military_uniform | Armed forces dress or combat military uniform, service framing the character's role. | meta:prop
mirror | A reflective mirror surface present in the scene, reflecting a character. | meta:prop
monocle | A single-lens eyepiece held in the eye socket by a squint, aristocratic aesthetic. | meta:prop
music_box | A small mechanical music-playing box, delicate chiming tune as ambient or romantic prop. | meta:prop
necklace | A decorative chain or cord worn around the neck, with or without a pendant. | meta:prop
net | A mesh device used to capture or restrain characters. | meta:prop
nipple_chain | A chain connecting two pierced nipples or clamped nipples, linked decoration. | meta:prop
nurse_outfit | A nurse costume, typically white with red cross, often sexualised. | meta:prop
overalls | A bib-and-brace work garment with shoulder straps and chest panel. | meta:prop
panties | Women's underwear covering the lower body in briefs cut, fabric over the hips and crotch. | meta:prop
phone | A phone present in the scene, mobile or landline. | meta:prop
pipe | A character smoking a tobacco pipe, the bowl in their hand and stem at their lips. | meta:prop
plague_mask | A bird-beaked plague-doctor mask from plague-era medical costume, distinctive long beak. | meta:prop
pocket_watch | A portable timepiece on a chain, worn in a pocket. | meta:prop
police_uniform | Law enforcement police uniform, official service dress with badge and equipment. | meta:prop
potion_bottle | A container for magical liquids, small labelled or coloured bottle. | meta:prop
purity_ring | A ring symbolising a sexual abstinence pledge, worn as commitment marker. | meta:prop
ring | A decorative or symbolic ring worn on a finger. | meta:prop
robes | Flowing long garments worn by characters, formal or magical framing. | meta:prop
rope_leash | A leash made of rope rather than leather or chain. | meta:prop
roses | Rose flowers present as romantic symbol, gift, or decoration. | meta:prop
rubber | Tight-fitting rubber or latex material worn as fetish gear. | meta:prop
scarf | A long fabric wrap worn around the neck for warmth or style. | meta:prop
school_uniform | A standard educational institution school uniform, student framing of the outfit. | meta:prop
scroll | A rolled parchment or paper document, magical or plot-related. | meta:prop
septum_ring | A ring pierced through the nasal septum, hanging between the nostrils. | meta:prop
shield | Defensive shield equipment carried to block attacks, strapped to arm or hand. | meta:prop
skirt | A lower-body garment hanging from the waist without dividing the legs. | meta:prop
sleep_mask | A fabric eye covering worn during sleep to block light. | meta:prop
spear | A polearm weapon with a blade mounted on a long shaft. | meta:prop
staff | A long wooden or metal staff, magical focus or walking aid. | meta:prop
stockings | Thigh-length fitted legwear, stockings held up by garter or elastic. | meta:prop
strawberries | Strawberries present as a romantic or sensual food element. | meta:prop
suit | Formal business suit attire, jacket and trousers matched with shirt and tie. | meta:prop
sunglasses | Tinted protective sunglasses, lenses shading the eyes from sun or hiding them entirely. | meta:prop
swimsuit | A one-piece swimming garment, swim attire covering torso and crotch. | meta:prop
swimwear | Swimming attire in general, whether one-piece, bikini, or other style. | meta:prop
sword | A bladed weapon with a long double- or single-edged blade. | meta:prop
talisman | A lucky or magical charm talisman, carried for protection or luck. | meta:prop
tank_top | A sleeveless casual top with shoulder straps rather than sleeves. | meta:prop
tarot_cards | Fortune-telling tarot cards, the deck of classical divination iconography spread or held. | meta:prop
tea | Tea present in the scene as social or domestic scene element, warm cup or pot. | meta:prop
thigh_highs | Stockings reaching the upper thigh, the top held by band or garter. | meta:prop
thong | Minimal-coverage underwear with a string back exposing the buttocks. | meta:prop
throne | A royal or grand chair, seat of power as prop. | meta:prop
tiara | A small decorative crown worn on the front of the head. | meta:prop
toe_ring | A ring worn around a toe, decorative foot jewelry. | meta:prop
toga | A classical draped garment, single sheet wrapped around the body. | meta:prop
top_hat | A tall cylindrical formal hat, aristocratic or magician aesthetic. | meta:prop
towel | A cloth wrap, often worn post-bath or draped across the body. | meta:prop
tragus_piercing | A piercing through the small ear flap in front of the ear canal. | meta:prop
trap | A hidden mechanism designed to ensnare or restrain characters. | meta:prop
uniform | A general tag for standardised institutional clothing of any type. | meta:prop
vape | A character using a vaporiser or e-cigarette, vapour cloud rather than smoke. | meta:prop
wand | A magical wand for spellcasting, slender focus for magic. | meta:prop
whipped_cream | Whipped cream present in the scene as food or body-play decoration, sticky and white. | meta:prop
whiskey | A specific spirit consumed by characters, brown liquor in a glass. | meta:prop
wine | Wine present in the scene as a social or romantic element, glass or bottle visible. | meta:prop
wreath | A circular arrangement of foliage, decoration or symbolic object. | meta:prop

================================================================================
WEATHER & ATMOSPHERE
================================================================================
aurora | Aurora lights display in the sky, northern or southern lights framing the scene with coloured ribbons. | meta:atmosphere
backlighting | A light source positioned behind the subjects, silhouetting them against the bright background. | meta:atmosphere
blizzard | A heavy blizzard snowstorm with driving wind, visibility reduced to near-zero by the whiteout. | meta:atmosphere
blue_hour | The blue hour just after sunset, cool pre-night light washing the scene in deep blue. | meta:atmosphere
bright_lighting | Well-lit vivid lighting throughout the scene, everything clearly visible under strong illumination. | meta:atmosphere
candlelight | A scene lit by candles, warm flickering light casting soft shadows across the space. | meta:atmosphere
cold_snap | A sudden cold snap in the weather, unseasonable chill framing the scene's climate. | meta:atmosphere
dappled_light | Light filtered through leaves or lattice, dappled patches of bright and shadow across the scene. | meta:atmosphere
dawn | A scene set at dawn, the first pale light of day breaking across the horizon. | meta:atmosphere
daytime | A scene occurring during daylight hours, sun up and brightness across the space. | meta:atmosphere
dim_lighting | Low subdued lighting across the scene, shadows heavy and details soft. | meta:atmosphere
drizzle | A light gentle drizzle falling, fine rain misting across the scene without soaking. | meta:atmosphere
dry_heat | Hot and arid conditions framing the scene, desert-style heat without humidity. | meta:atmosphere
dusk | A scene set at dusk, the last fading light of day giving way to night. | meta:atmosphere
early_morning | The first hours of the day, morning light just breaking with mist still lingering. | meta:atmosphere
firelight | A scene lit by an open fire, warm orange light flickering across faces and walls. | meta:atmosphere
fog | Low-lying fog obscuring visibility, ghostly mist wrapping around the scene's objects. | meta:atmosphere
frost | Ice frost crystals coating surfaces, cold morning decoration on glass, grass, or fur. | meta:atmosphere
full_moon | A full moon visible in the scene, the round bright disc dominating the night sky. | meta:atmosphere
gale | A powerful gale wind whipping through the scene, strong enough to bend trees and hair. | meta:atmosphere
golden_hour | The warm golden hour just before sunset, low sun bathing the scene in honey-gold light. | meta:atmosphere
hail | Hail falling during the scene, ice pellets pattering against surfaces. | meta:atmosphere
harsh_lighting | Strong unflattering light across the scene, hard shadows and clinical brightness. | meta:atmosphere
heatwave | An extreme heatwave framing the scene, oppressive heat wilting the characters and surroundings. | meta:atmosphere
heavy_rain | Intense pouring heavy rain, sheets of water drenching everything in the scene. | meta:atmosphere
humid | Hot and moisture-laden humid air, damp atmosphere framing the scene's climate. | meta:atmosphere
hurricane | Extreme hurricane storm conditions framing the scene, devastating wind and rain. | meta:atmosphere
ice | Frozen ice surfaces or conditions framing the scene, cold and slick underfoot. | meta:atmosphere
lamplight | A scene lit by a lamp, warm pool of light framing the character and their immediate surroundings. | meta:atmosphere
late_night | Scene set in the late night hours before dawn, deep darkness framing the setting. | meta:atmosphere
lightning | Lightning flashes lighting the scene, brief bright bolts cutting through the dark. | meta:atmosphere
midnight | A scene set at midnight specifically, the witching moment framing the nocturnal action. | meta:atmosphere
mist | Light atmospheric mist drifting through the scene, gauzy moisture softening edges. | meta:atmosphere
moonlight | A scene lit by the moon, pale silver light framing the characters in nocturnal glow. | meta:atmosphere
neon_light | A scene lit by neon signs or lights, vibrant coloured glow framing the urban-night aesthetic. | meta:atmosphere
night | A scene taking place at night, darkness with moon, stars, or artificial light framing. | meta:atmosphere
partly_cloudy | A mix of sun and clouds, the sky dappled with patches of clear blue and drifting white. | meta:atmosphere
rain | Rainfall during the scene, water falling and wetting everything in the frame. | meta:atmosphere
rainbow | A rainbow visible in the scene, the arc of colours as weather or magical framing. | meta:atmosphere
shadow_play | Dramatic use of shadows across the scene, deliberate shadow shapes framing the composition. | meta:atmosphere
silhouette | Figures visible only as dark outlines against a brighter background, silhouette framing. | meta:atmosphere
snow | Snowfall during the scene, flakes drifting down and collecting on surfaces. | meta:atmosphere
soft_lighting | Gentle diffused light across the scene, everything rendered in warm softness. | meta:atmosphere
starlight | A scene lit by stars, faint silver points providing minimal illumination in the dark. | meta:atmosphere
storm | A thunderstorm with lightning and heavy rain framing the scene's dramatic weather. | meta:atmosphere
sunrise | A scene set during sunrise, dawn light breaking over the horizon with pink and gold. | meta:atmosphere
sunset | A scene set during sunset, dusk light setting with orange and purple across the sky. | meta:atmosphere
sunshine | Bright sunshine during the scene, warm direct sunlight bathing the setting. | meta:atmosphere
thunder | The sound of thunder rolling through the scene, approaching or overhead storm framing. | meta:atmosphere
torchlight | A scene lit by torches, warm flickering flame-light framing the pre-modern setting. | meta:atmosphere
tornado | A violent rotating tornado wind column, devastating funnel framing the scene's weather. | meta:atmosphere
twilight | A scene during twilight or dusk, the transitional light between day and night framing the setting. | meta:atmosphere
wind | Noticeable wind blowing through the scene, hair, fur, and clothing moving with its force. | meta:atmosphere
witching_hour | A scene set at 3am, the supernatural witching hour framing the uncanny time. | meta:atmosphere

================================================================================
SEASONAL & HOLIDAY
================================================================================
anniversary | Relationship anniversary celebration | meta:seasonal
autumn | Autumn/fall season setting | meta:seasonal
ball | Formal dance event with elegant attire and social intrigue. | meta:seasonal
birthday_celebration | Birthday party or celebration | meta:seasonal
blood_moon | Red-tinted lunar eclipse | meta:seasonal
bonfire | Large outdoor fire gathering | meta:seasonal
breeding_season | Period when breeding drive intensifies | meta:seasonal
ceremony | Formal ritual or official event marking a significant occasion. | meta:seasonal
christmas | Christmas holiday setting or theme | meta:seasonal
concert | Musical performance event | meta:seasonal
coronation | Crowning of a monarch | meta:seasonal
easter | Easter holiday setting | meta:seasonal
eclipse | Solar or lunar eclipse event | meta:seasonal
equinox | Spring or autumn equinox event | meta:seasonal
fall | Fall/autumn season setting | meta:seasonal
festival_event | Cultural festival or celebration | meta:seasonal
full_moon_event | Event occurring during a full moon | meta:seasonal
funeral | Death memorial event | meta:seasonal
halloween | Halloween holiday setting or theme | meta:seasonal
harvest_festival | Agricultural celebration | meta:seasonal
hibernation | Winter dormancy period | meta:seasonal
masquerade | Masked ball or party | meta:seasonal
mating_season_event | During a species' mating season | meta:seasonal
migration | Seasonal movement of species | meta:seasonal
new_years | New Year's Eve/Day celebration | meta:seasonal
prom | School formal dance | meta:seasonal
ritual | Ceremonial or magical ritual | meta:seasonal
solstice | Summer or winter solstice event | meta:seasonal
spring | Spring season setting | meta:seasonal
summer | Summer season setting | meta:seasonal
thanksgiving | Thanksgiving holiday setting | meta:seasonal
tournament | Combat competition event | meta:seasonal
valentines_day | Valentine's Day romantic theme | meta:seasonal
wedding | Marriage ceremony event | meta:seasonal
winter | Winter season setting | meta:seasonal

================================================================================
MAGIC & SUPERNATURAL
================================================================================
air_magic | Magic controlling wind and air, aeromancy as the magical discipline in the scene. | meta:supernatural
aphrodisiac_potion | A potion enhancing or triggering sexual arousal, magical chemical framing the scene. | meta:supernatural
aura | A visible energy aura around a character, magical or spiritual presence rendered visually. | meta:supernatural
blessing | A beneficial magical blessing granted to a character, positive supernatural gift. | meta:supernatural
blood_magic | Magic powered by blood, crimson casting with the life force as fuel. | meta:supernatural
curse | A harmful magical curse affecting a character, supernatural affliction framing the scene. | meta:supernatural
dark_magic | Forbidden or evil dark magical practices framing the scene's power source. | meta:supernatural
divination | Magic for seeing the future or hidden things, scrying framing the magical practice. | meta:supernatural
earth_magic | Magic controlling earth and stone, geomancy as the magical discipline in the scene. | meta:supernatural
elemental_magic | Magic controlling natural elements, fire, water, earth, or air as the magical focus. | meta:supernatural
empathy_power | The ability to sense or share emotions, empathic magic framing the character. | meta:supernatural
enchanted_chains | Chains with magical binding properties, enchanted restraints holding more than just flesh. | meta:supernatural
enchanted_collar | A collar with magical effects, enchantment framing the binding or controlling function. | meta:supernatural
enchantment | A magical enchantment enhancing or altering something, active spellwork framing the scene. | meta:supernatural
familiar_bond | A magical bond between magic user and animal companion, the familiar relationship framing. | meta:supernatural
fertility_potion | A potion enhancing reproductive ability, the chemical magic aimed at breeding outcomes. | meta:supernatural
fire_magic | Magic controlling fire, pyromancy as the magical discipline in the scene. | meta:supernatural
flight_magic | Magical flight ability, the character taking to the air through magical rather than physical means. | meta:supernatural
growth_potion | A potion causing size increase, magical size-up chemistry framing the scene. | meta:supernatural
healing_magic | Magic that repairs injury or illness, restoration spells framing the scene. | meta:supernatural
hex | A minor harmful hex spell, low-level magical mischief framing the scene. | meta:supernatural
ice_magic | Magic controlling ice and cold, cryomancy as the magical discipline in the scene. | meta:supernatural
illusion | Magic creating false sensory experiences, deceptive spells framing the scene. | meta:supernatural
immortality | A character who cannot die of natural causes, magical immortality framing their nature. | meta:supernatural
intangibility | The ability to pass through solid matter, ghost-like magical phasing. | meta:supernatural
invisibility | Magical concealment from sight, the character rendered unseen by magical means. | meta:supernatural
ley_line | A natural channel of magical energy, ley-line current framing the setting's magic. | meta:supernatural
lightning_magic | Magic controlling electricity and lightning, electromancy as the magical discipline in the scene. | meta:supernatural
love_potion | A potion inducing attraction or love, magical romantic compulsion framing the scene. | meta:supernatural
lust_potion | A potion inducing sexual desire, magical aphrodisiac framing the scene's compulsion. | meta:supernatural
magic | Magical abilities or elements present in the scene, the supernatural as framing. | meta:supernatural
magical_bond | A supernatural magical bond between characters, mystical connection framing the relationship. | meta:supernatural
magical_restraint | Magical restraints suppressing magic or movement, supernatural bondage framing the scene. | meta:supernatural
magical_tattoo | A tattoo with magical properties inked on the skin, enchantment framing the body mark. | meta:supernatural
mana | Magical mana energy as a resource, the reservoir powering spells framing the character. | meta:supernatural
necromancy | Magic involving death and undead, raising corpses or communing with the dead framing the scene. | meta:supernatural
pocket_dimension | A small personal extradimensional space, a magical pocket reality framing the setting. | meta:supernatural
potion | A magical concoction or elixir, alchemical chemistry framing the scene. | meta:supernatural
power_nullification | The ability to suppress another's magical powers, anti-magic field framing the scene. | meta:supernatural
profane_ground | Desecrated or corrupted magical location, unholy-soil framing the scene. | meta:supernatural
regeneration | Magical rapid healing ability, wounds closing visibly as framing. | meta:supernatural
rune_magic | Magic using inscribed runes, rune-carving framing the magical discipline. | meta:supernatural
sacred_ground | A location with spiritual or magical significance, holy-ground framing the scene. | meta:supernatural
sex_magic | Magic powered by or involving sexual energy, erotic spellwork framing the scene. | meta:supernatural
shapeshifting_magic | Magic enabling form changes, species or gender shifting magically framing the scene. | meta:supernatural
shrinking_potion | A potion causing size decrease, magical size-down chemistry framing the scene. | meta:supernatural
soul_magic | Magic affecting or powered by souls, spiritual spellwork framing the scene. | meta:supernatural
spellcasting | The active use of magic spells, a character casting framing the scene's action. | meta:supernatural
spirit_animal | A spiritual animal guide or totem representation accompanying the character. | meta:supernatural
strength_potion | A potion enhancing physical power, magical brawn-chemistry framing the scene. | meta:supernatural
summoning | Magical summoning, calling forth creatures or entities framing the scene's conflict. | meta:supernatural
super_strength | Magically enhanced physical power, the character stronger than natural biology allows. | meta:supernatural
telekinesis | The ability to move objects with the mind, telekinetic force framing the scene. | meta:supernatural
telepathy | The ability to read or transmit thoughts, mental magic framing the communication. | meta:supernatural
time_stop | The magical freezing of time around characters, temporal arrest framing the scene. | meta:supernatural
totem | A sacred spiritual totem object or symbol carried or framed in the scene. | meta:supernatural
transformation_potion | A potion causing physical changes, magical transformation-chemistry framing the scene. | meta:supernatural
ward | A protective magical ward barrier, defensive spellwork framing the scene. | meta:supernatural
water_magic | Magic controlling water, hydromancy as the magical discipline in the scene. | meta:supernatural


================================================================================
E621 IMPORT - 2026-04-15
================================================================================
# Tags imported from e621 dump on 2026-04-15
# These are appended for review; re-sort into appropriate sections later

comic | Comic | meta:general
story | Contains story text | meta:format


================================================================================
E621 IMPORT v2 - 2026-04-15
================================================================================
# Permissive import: dropped artist/character/modeler/meta categories
# These need re-sorting into appropriate sections

2_panel_comic | Two-panel comic | meta:format
3_panel_comic | Three-panel comic | meta:format
4_panel_comic | Four-panel comic | meta:format
5_panel_comic | Five-panel comic | meta:format
6_panel_comic | Six-panel comic | meta:format
adastra_(series) | Franchise reference: adastra (series) | meta:franchise
aika_(series) | Franchise/series reference: aika (series) | meta:franchise
aikatsu!_(series) | Franchise/series reference: aikatsu! (series) | meta:franchise
american_mythology | American mythology as a theme, Indigenous or folk-American supernatural tradition framing the scene. | meta:theme
amphibia_(series) | Franchise reference: amphibia (series) | meta:franchise
angstrom | Angstrom (character) | meta:franchise
animated_comic | Animated comic | meta:format
aquarion_(series) | Franchise reference: aquarion (series) | meta:franchise
archie_comics | Archie comics | meta:general
art_nouveau | Art nouveau | meta:general
arthur_(series) | Franchise/series reference: arthur (series) | meta:franchise
asian_mythology | Asian mythology as a theme, East-Asian supernatural tradition framing the scene. | meta:theme
atelier_(series) | Franchise reference: atelier (series) | meta:franchise
au_ra | Au Ra race (FFXIV) | meta:franchise
avengers_(series) | Franchise reference: avengers (series) | meta:franchise
balto_(series) | Franchise reference: balto (series) | meta:franchise
batman_(series) | Franchise reference: batman (series) | meta:franchise
bayonetta_(series) | Franchise reference: bayonetta (series) | meta:franchise
bluey_(series) | Franchise reference: bluey (series) | meta:franchise
brown_dust_(series) | Franchise/series reference: brown dust (series) | meta:franchise
bucky_o'hare_(series) | Franchise/series reference: bucky o'hare (series) | meta:franchise
call_of_duty:_modern_warfare_2 | Call of duty: modern warfare 2 | meta:franchise
castlevania_(series) | Franchise reference: castlevania (series) | meta:franchise
cave_story | Cave story | meta:franchise
chinese_mythology | Chinese mythology as a theme, specifically Chinese supernatural tradition framing the scene. | meta:theme
cinderella_series | Cinderella series | meta:franchise
comic_cover | Comic cover page | meta:format
comic_panel | Single comic panel | meta:format
comic_sans | Comic Sans font | meta:format
crash_bandicoot_(series) | Franchise/series reference: crash bandicoot (series) | meta:franchise
crash_team_racing_(series) | Franchise/series reference: crash team racing (series) | meta:franchise
crisis_core:_final_fantasy_vii | Crisis core: final fantasy vii | meta:franchise
crossover_cosplay | Crossover cosplay | meta:general
cyberpunk_(series) | Franchise reference: cyberpunk (series) | meta:franchise
danganronpa_(series) | Franchise reference: danganronpa (series) | meta:franchise
dark_souls_(series) | Franchise/series reference: dark souls (series) | meta:franchise
dc_comics | Dc comics | meta:general
deadpool_(series) | Franchise reference: deadpool (series) | meta:franchise
devil_may_cry_(series) | Franchise/series reference: devil may cry (series) | meta:franchise
dissidia_final_fantasy | Dissidia final fantasy | meta:franchise
donkey_kong_(series) | Franchise/series reference: donkey kong (series) | meta:franchise
doom_(series) | Franchise reference: doom (series) | meta:franchise
dota_(series) | Franchise reference: dota (series) | meta:franchise
doukyuusei_(series) | Franchise/series reference: doukyuusei (series) | meta:franchise
dream_c_club_(series) | Franchise/series reference: dream c club (series) | meta:franchise
earthbound_(series) | Franchise/series reference: earthbound (series) | meta:franchise
east_asian_mythology | East Asian mythology as a theme, Japanese, Chinese, or Korean tradition framing the scene. | meta:theme
echo_(series) | Franchise/series reference: echo (series) | meta:franchise
egyptian_mythology | Egyptian mythology | meta:general
eureka_seven_(series) | Franchise/series reference: eureka seven (series) | meta:franchise
european_mythology | European mythology | meta:general
fear_&_hunger_(series) | Franchise/series reference: fear & hunger (series) | meta:franchise
final_fantasy | Final fantasy | meta:franchise
final_fantasy_iv | Final fantasy iv | meta:franchise
final_fantasy_ix | Final fantasy ix | meta:franchise
final_fantasy_tactics | Final fantasy tactics | meta:franchise
final_fantasy_v | Final fantasy v | meta:franchise
final_fantasy_vi | Final fantasy vi | meta:franchise
final_fantasy_vii | Final fantasy vii | meta:franchise
final_fantasy_vii:_ever_crisis | Final fantasy vii: ever crisis | meta:franchise
final_fantasy_vii_rebirth | Final fantasy vii rebirth | meta:franchise
final_fantasy_vii_remake | Final fantasy vii remake | meta:franchise
final_fantasy_viii | Final fantasy viii | meta:franchise
final_fantasy_x | Final fantasy x | meta:franchise
final_fantasy_xi | Final fantasy xi | meta:franchise
final_fantasy_xii | Final fantasy xii | meta:franchise
final_fantasy_xiii | Final fantasy xiii | meta:franchise
final_fantasy_xiv | Final fantasy xiv | meta:franchise
final_fantasy_xv | Final fantasy xv | meta:franchise
final_fantasy_xvi | Final fantasy xvi | meta:franchise
fluff-kevlar | Fluff-Kevlar (artist) | meta:franchise
full_page_comic | Full page comic | meta:general
garfield_(series) | Franchise/series reference: garfield (series) | meta:franchise
general-irrelevant | Flagged as irrelevant | meta:admin
godzilla_(series) | Franchise/series reference: godzilla (series) | meta:franchise
granblue_fantasy | Granblue Fantasy | meta:franchise
greek_mythology | Greek mythology | meta:general
grisaia_(series) | Franchise/series reference: grisaia (series) | meta:franchise
hades_(series) | Franchise/series reference: hades (series) | meta:franchise
halo_(series) | Franchise/series reference: halo (series) | meta:franchise
hamtaro_(series) | Franchise/series reference: hamtaro (series) | meta:franchise
harry_potter_(series) | Franchise/series reference: harry potter (series) | meta:franchise
hello_kitty_(series) | Franchise/series reference: hello kitty (series) | meta:franchise
historical_name_connection | A historical name connection between characters, naming as a reference to real figures. | meta:theme
honkai_(series) | Franchise/series reference: honkai (series) | meta:franchise
ice_age_(series) | Franchise/series reference: ice age (series) | meta:franchise
in-franchise_crossover | In-franchise crossover | meta:general
inazuma_eleven_(series) | Franchise/series reference: inazuma eleven (series) | meta:franchise
indigenous_north_american_mythology | Indigenous north american mythology | meta:general
japanese_mythology | Japanese mythology | meta:general
jewish_mythology | Jewish mythology | meta:general
kirby_(series) | Franchise reference: kirby (series) | meta:franchise
klonoa_(series) | Franchise/series reference: klonoa (series) | meta:franchise
kuro_no_kiseki_(series) | Franchise/series reference: kuro no kiseki (series) | meta:franchise
madagascar_(series) | Franchise/series reference: madagascar (series) | meta:franchise
mana_(series) | Franchise/series reference: mana (series) | meta:franchise
maplestory | MapleStory franchise | meta:franchise
mario_(series) | Franchise reference: mario (series) | meta:franchise
mario_and_luigi_(series) | Franchise reference: mario and luigi (series) | meta:franchise
mazinger_(series) | Franchise/series reference: mazinger (series) | meta:franchise
mega_man_(series) | Franchise/series reference: mega man (series) | meta:franchise
mega_man_battle_network_(series) | Franchise/series reference: mega man battle network (series) | meta:franchise
mega_man_legends_(series) | Franchise/series reference: mega man legends (series) | meta:franchise
mega_man_star_force_(series) | Franchise/series reference: mega man star force (series) | meta:franchise
mega_man_x_(series) | Franchise/series reference: mega man x (series) | meta:franchise
mega_man_zero_(series) | Franchise/series reference: mega man zero (series) | meta:franchise
metal_gear_(series) | Franchise/series reference: metal gear (series) | meta:franchise
middle_eastern_mythology | Middle eastern mythology | meta:general
million_arthur_(series) | Franchise/series reference: million arthur (series) | meta:franchise
monogatari_(series) | Franchise/series reference: monogatari (series) | meta:franchise
monster_hunter_(series) | Franchise/series reference: monster hunter (series) | meta:franchise
mother_(series) | Franchise/series reference: mother (series) | meta:franchise
multiple_crossover | Multiple crossover | meta:general
my_melody_(series) | Franchise/series reference: my melody (series) | meta:franchise
naruto_(series) | Franchise/series reference: naruto (series) | meta:franchise
neptune_(series) | Franchise/series reference: neptune (series) | meta:franchise
nier_(series) | Franchise/series reference: nier (series) | meta:franchise
nikki_(series) | Franchise/series reference: nikki (series) | meta:franchise
north_american_mythology | North american mythology | meta:general
ori_(series) | Franchise/series reference: ori (series) | meta:franchise
original | Original character/work | meta:franchise
osomatsu_(series) | Franchise/series reference: osomatsu (series) | meta:franchise
overlord_(series) | Franchise/series reference: overlord (series) | meta:franchise
peanuts_(comic) | Peanuts (comic) | meta:general
persona_(series) | Franchise/series reference: persona (series) | meta:franchise
pikmin_(series) | Franchise/series reference: pikmin (series) | meta:franchise
pokemon_the_series:_black_&_white | Franchise reference: pokemon the series: black & white | meta:franchise
pokemon_the_series:_diamond_and_pearl | Franchise reference: pokemon the series: diamond and pearl | meta:franchise
pokemon_the_series:_ruby_and_sapphire | Franchise reference: pokemon the series: ruby and sapphire | meta:franchise
pokemon_the_series:_sun_&_moon | Franchise reference: pokemon the series: sun & moon | meta:franchise
pokemon_the_series:_xy | Franchise reference: pokemon the series: xy | meta:franchise
portal_(series) | Franchise/series reference: portal (series) | meta:franchise
pretty_series | Pretty series | meta:franchise
project_diva_(series) | Franchise/series reference: project diva (series) | meta:franchise
quin-nsfw | Quin-NSFW (artist) | meta:franchise
rance_(series) | Franchise/series reference: rance (series) | meta:franchise
rayman_(series) | Franchise/series reference: rayman (series) | meta:franchise
right-to-left_comic | Right-to-left comic | meta:general
rio_(series) | Franchise/series reference: rio (series) | meta:franchise
rocko's_modern_life | Rocko's Modern Life | meta:franchise
ryuu_ga_gotoku_(series) | Franchise/series reference: ryuu ga gotoku (series) | meta:franchise
safety_pin | A safety pin present as clothing fastener or punk accessory. | meta:prop
sailor_moon_(series) | Franchise/series reference: sailor moon (series) | meta:franchise
