TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
body_part_worship | A general catch-all for reverent, focused attention on any specific body part not covered by more precise worship tags. | act:worship
breath_on_cock | Warm, deliberate exhales blown across the penis without making contact, using only the sensation of hot breath to tease. | act:worship
chest_worship | Reverent touching, kissing, or licking of the pectorals or chest, admiring the breadth and musculature. | act:worship
claw_worship | Reverent admiration, kissing, or licking of a character's claws, appreciating their sharpness, length, or predatory beauty. | act:worship
clit_worship | Extended, devotional attention focused on the clitoris, treating it with care rather than racing toward orgasm. | act:worship
cloaca_worship | Reverent oral, visual, or tactile attention focused specifically on a character's cloaca, admiring and pleasuring the avian or reptilian genital structure. | act:worship
cock_adoration | A deep, emotionally charged focus on every inch and curve of the penis, treating it with reverent fascination and desire. | act:worship
cock_against_cheek | A partner's penis resting against their own cheek, an affectionate and non-penetrative intimate moment. | act:worship
cock_between_lips | A penis's tip resting between slightly parted lips without yet entering the mouth, a held teasing moment. | act:worship
cock_cradling | Worshipful handling of a partner's penis with slow, reverent touches rather than stroking for climax. | act:worship
cock_in_face | Face pressed close or into the cock—show of submission. | act:worship
cock_in_hand | The penis held gently in a worshipper's hand, cradled or lightly gripped as an object of admiration rather than active stimulation. | act:worship
cock_kissing | Gentle or intense kisses placed along the shaft or head. | act:worship
cock_licking | Long, slow, deliberate licks dragged up the shaft or across the head, treating every inch of the penis as worthy of careful tongue attention. | act:worship
cock_nesting | Character buries face into crotch for scent and warmth. | act:worship
cock_nuzzling | Pressing lips, face, or cheek affectionately against the penis. | act:worship
cock_reverence | Full adoration or even prayer-like focus on a penis. | act:worship
cock_sniffing | Pressing the nose against or near the penis and deeply inhaling its natural scent with lustful or reverential intent. | act:worship
cock_suckling | Soft, continuous, gentle sucking on the penis with a nursing-like rhythm, comforting and meditative rather than aggressive. | act:worship
cock_teasing | Deliberate, drawn-out stimulation of the penis meant to build frustration rather than deliver release. | act:worship
cock_tip_tease | Attention focused specifically on the glans with flicks, kisses, or breath, leaving the shaft untouched. | act:worship
cock_tongue_bath | A thorough, unhurried licking of the entire penis from base to tip and back, covering every surface with the tongue as though bathing it. | act:worship
crotch_nuzzling | Pressing the face or muzzle affectionately into a partner's groin area, nuzzling against the genitals or inner thigh. | act:worship
cum_cleanup_worship | A partner reverently cleaning ejaculate off skin or body with their tongue, framed as devotional rather than practical. | act:worship
cum_worship | Reverent attention to ejaculate itself, admiring, playing with, or savouring semen as an object of desire. | act:worship
dick_reverence | Complete emotional and physical devotion to a penis, treating it with an almost sacred level of awe and attention. | act:worship
dom_receives_worship | A dominant partner positioned as the recipient of worshipful attention from their submissive, receiving adoration as their due. | act:worship
drooling_on_cock | Saliva flows freely over the shaft in worship or arousal. | act:worship
ear_worship | Reverent licking, nibbling, or breathing into a partner's ears, exploiting their sensitivity for pleasure. | act:worship
fang_worship | Reverent admiration, touching, or kissing of a character's fangs or sharp teeth, appreciating their predatory beauty. | act:worship
feather_worship | Reverent stroking, preening, or nuzzling of a partner's feathers, appreciating their texture, colour, and softness. | act:worship
finger_worship | Reverent sucking, licking, or kissing of a partner's individual fingers, treating each digit as an object of desire. | act:worship
fur_worship | Reverent stroking, nuzzling, or burying the face into a partner's fur, savouring its texture, warmth, and scent. | act:worship
genital_tongueplay | The tongue used on the genitals with focused, deliberate technique, whether delicate teasing or intense lapping. | act:worship
genital_worship | Extended, worshipful attention paid to a partner's genitals regardless of type, treating them as the centre of focus. | act:worship
gentle_cockplay | Light, delicate, sensual attention to the penis using soft touches, feathery strokes, and tender exploration. | act:worship
groin_sniffing | Pressing the face into a partner's groin area and inhaling deeply, finding arousal in the concentrated natural scent. | act:worship
hand_on_cock | A hand resting on or lightly gripping the penis without active stroking, holding it in place for worship, admiration, or idle comfort. | act:worship
hand_worship | Reverent kissing, licking, or cradling of a partner's hands, admiring their shape, strength, or elegance. | act:worship
horn_worship | Reverent touching, licking, or gripping of a character's horns, treating them as prized and attractive features. | act:worship
idle_sucking | Gently holding the cock in mouth without motion—comforting or meditative. | act:worship
kissing_the_tip | A soft, deliberate kiss placed on the crown or glans of the penis, one of the most tender and teasing worship gestures. | act:worship
kneeling_for_cock | Receiving partner kneeling before a standing partner's penis in a pose of worship or submission. | act:worship
knot_worship | Focus on the knot, often with licking, squeezing, or adoration. | act:worship
lactation_worship | Reverent nursing, drinking, or playing with breast milk from a lactating partner, treating the milk as a gift or reward. | act:worship
love_for_cock | Worship that transcends the purely erotic into genuine emotional attachment and romantic feelings toward a partner's penis. | act:worship
muscle_worship | Reverent touching, kissing, or admiring of a partner's muscular physique, tracing the contours of defined muscles with hands or mouth. | act:worship
musk_worship | Deep, reverent inhaling of a partner's natural body scent, particularly from musky areas like the groin, armpits, or sheath. | act:worship
muzzle_worship | Reverent kissing, stroking, or nuzzling of a partner's muzzle or snout, appreciating its shape and the character's species-specific facial structure. | act:worship
neck_worship | Reverent kissing, licking, or breathing against the neck, exploiting one of the body's most sensitive erogenous zones. | act:worship
nipple_worship | Reverent sucking, licking, flicking, or teasing of nipples as a focused act of adoration. | act:worship
oral_genital_ritual | Oral worship of the genitals performed with ceremonial or ritualistic intent, framed as a sacred act rather than casual sex. | act:worship
paw_worship | Reverent licking, sniffing, kissing, or massaging of a character's paws and paw pads, treating the feet-equivalent as objects of adoration. | act:worship
penis_scent_worship | Deep, reverent inhaling of the natural scent emanating from a partner's penis and groin, finding the musk intoxicating. | act:worship
penis_worship | Devoted, reverent adoration of the penis through oral, manual, or visual attention. | act:worship
post_cum_tonguework | Continued tongue attention on a penis after climax, working through the oversensitivity as aftercare. | act:worship
precum_worship | Reverent licking, tasting, or admiring pre-ejaculatory fluid as it beads at the tip or strings between surfaces. | act:worship
pussy_reverence | Extended, worshipful oral or manual attention to a partner's vulva, treating it as sacred rather than a means to orgasm. | act:worship
pussy_worship | Oral, visual, or tactile worship of the vulva and pussy. | act:worship
scale_worship | Reverent touching, licking, or tracing of a partner's scaled skin, appreciating the smooth, textured, or iridescent surface. | act:worship
scar_worship | Reverent tracing, kissing, or touching of scars on a partner's body, treating battle marks or old wounds as badges of honour and beauty. | act:worship
scent_worship | Deep, reverent breathing in of a partner's natural body scent from any area, finding arousal and comfort in their personal smell. | act:worship
sheath_worship | Reverent attention to a character's penile sheath, licking, nuzzling, or coaxing the penis out from within. | act:worship
size_worship | Reverent admiration of a partner's physical size, whether overall body scale, towering height, muscular bulk, or genital dimensions. | act:worship
submissive_cock_focus | A submissive lavishes full attention on their dom's cock. | act:worship
sucking_without_penetration | Oral action without insertion, just tongue and lips playing. | act:worship
sweat_worship | Reverent licking, tasting, or savouring of a partner's sweat, treating perspiration as an erotic byproduct of exertion or heat. | act:worship
tail_worship | Reverent stroking, kissing, or nuzzling of a partner's tail, admiring its shape, fluffiness, or sleekness. | act:worship
thigh_worship | Reverent kissing, licking, or squeezing of a partner's thighs, admiring their thickness, softness, or muscular definition. | act:worship
tongue_on_cock | The tongue pressed against or sliding along the penis shaft or head in focused, deliberate licking. | act:worship
tongue_on_frenulum | Licking attention focused on the sensitive ridge on the underside of the glans, a pinpoint tease spot. | act:worship
tongue_under_cock | Tongue pressed flat to the underside of the penis, either passive or licking in slow upward strokes. | act:worship
wing_worship | Reverent touching, stroking, or preening of a partner's wings, appreciating their span, feather texture, or membrane. | act:worship
worship_from_below | Character kneels or lies under cock to worship from below. | act:worship
worshipful_stroking | Hand movement on a partner's penis that emphasises reverence over rhythm, slow and focused rather than rushed. | act:worship

================================================================================
TONGUEPLAY & LICKING
================================================================================
broad_tongue_lick | A wide, flat stroke of the tongue dragged across skin or genitals, covering maximum surface area in one slow lick. | act:oral
claw_licking | Running the tongue along a partner's extended claws, combining the intimacy of oral attention with the danger of sharp edges. | act:oral
delicate_licking | Light, precise, barely-there tongue strokes designed to tease and tantalise rather than satisfy. | act:oral
double_tongue | Two tongues working on the same area simultaneously, whether from two characters licking together or a single character with a forked or bifurcated tongue. | act:oral
feather_preening | Grooming a partner's feathers using the mouth and tongue, an intimate avian bonding behaviour. | act:oral
full_body_licking | A partner being licked from head to foot with slow, worshipful tongue strokes covering every exposed surface. | act:oral
horn_licking | Running the tongue along a partner's horns, tracing the ridges and curves from base to tip. | act:oral
licking_between_thighs | Slow, deliberate licks up the inner thighs, building anticipation before moving to the genitals. | act:oral
licking_up_cum | A partner licking deposited ejaculate off skin, body, or surface, cleaning up with tongue and lips. | act:oral
long_tongue_play | Sexual use of an abnormally long tongue capable of wrapping, reaching deep, or performing feats impossible with a normal-length tongue. | act:oral
muzzle_licking | Licking along or across a partner's muzzle or snout, a canine or feline greeting and affection behaviour adapted to intimate contexts. | act:oral
oral_tongue_dominance | A dominant partner using their tongue to overwhelm, pin, or control the receiver during oral sex. | act:oral
paw_licking | Running the tongue across a partner's paw pads and between their toes, the furry equivalent of foot worship via oral attention. | act:oral
rough_tongue | Licking with a textured, raspy, or barbed tongue characteristic of feline species, where the papillae create a sandpaper-like sensation. | act:oral
scale_licking | Dragging the tongue along a partner's scaled skin, feeling the ridged texture of individual scales beneath. | act:oral
sloppy_licking | Wet, messy, enthusiastic licking with copious saliva, drool strings, and zero restraint. | act:oral
slow_tongue_circles | Slow, deliberate circular licking motions used to tease or build sensation gradually rather than race toward climax. | act:oral
smooth_tongue | Licking with a soft, velvety smooth tongue that glides across skin without any rasp or texture. | act:oral
tongue_bath | Thorough, extensive licking across large areas of a partner's body, covering them in saliva as though bathing them with the tongue. | act:oral
tongue_between_cheeks | Licking down the crevice of buttocks, teasing the hole. | act:oral
tongue_breeding | Oral stimulation so intense it feels as invasive as fucking. | act:oral
tongue_flick | Quick, darting tongue touches used to tease a nipple, clit, tip, or other sensitive point. | act:oral
tongue_grazing | The tongue barely brushing across skin in a whisper-light contact that sends shivers through the body. | act:oral
tongue_kiss | A kiss with full tongue involvement, where tongues visibly meet, intertwine, or explore each other's mouths. | act:oral
tongue_on_knot | Licking attention focused on the bulb at the base of a canine-style penis rather than the shaft or tip. | act:oral
tongue_on_skin | A tongue trailing across bare skin anywhere other than genitals, often neck, ribs, or inner arm. | act:oral
tongue_painting | Sustained, sweeping licks across skin, fur, or genitals, coating the surface in saliva like brushstrokes. | act:oral
tongue_penetration | Deep use of tongue in a penetrative way (mouth, pussy, etc). | act:oral
tongue_tease | Flicks, licks, and hovering touches with tongue to arouse. | act:oral
tongue_tip_tease | Using only the very tip of the tongue for pinpoint teasing, barely making contact in focused, precise strokes. | act:oral
tongue_wrapping | Tongue wraps around object or body part (e.g. cock, finger). | act:oral
tongue_wrestling | Two characters' tongues intertwining, competing, and sliding against each other in an active battle for dominance. | act:oral
tongueplay | Any focused, sensual use of the tongue in kink or pleasure. | act:oral

================================================================================
KISSING & ORAL AFFECTION
================================================================================
aggressive_kiss | A forceful, dominant kiss where one partner overwhelms the other with intensity, often pinning them or gripping their face. | act:oral
breathless_kiss | A kiss that continues long enough that both partners are visibly panting when they finally break. | act:oral
cheek_kiss | A gentle kiss placed on the cheek rather than the lips, expressing affection, greeting, or tender care without the intensity of a full kiss. | act:oral
chest_kiss | Lips pressed to a partner's chest or pectorals, sometimes worshipful, sometimes a prelude to moving lower. | act:oral
chin_grab_kiss | One character grabs the other's chin and pulls them into a kiss. | act:oral
comforting_kiss | A soft, gentle kiss given to soothe, reassure, or calm a distressed partner, prioritising emotional care over passion. | act:oral
deep_kiss | An open-mouthed kiss with tongues meeting and a clear sense of sustained intensity rather than a quick peck. | act:oral
face_to_face_kiss | A kiss shared with both partners directly facing each other, the most straightforward and intimate kissing orientation. | act:oral
farewell_kiss | A kiss shared as a goodbye before separation, often lingering and bittersweet. | act:oral
first_kiss | A character's first-ever kiss, or the first kiss between two characters, the emotional weight central to the moment. | act:oral
forced_kiss | A kiss physically imposed on an unwilling or resisting recipient, where one partner uses strength or surprise to force mouth contact. | act:oral
forehead_kiss | A tender kiss placed on the forehead, one of the most protective and nurturing kiss gestures. | act:oral
forehead_press_kiss | Foreheads rested together either during or immediately after a kiss, conveying intimacy beyond the kiss itself. | act:oral
gentle_kiss | A soft, tender kiss delivered with care and restraint, expressing warmth and affection without urgency or force. | act:oral
hand_on_face_kiss | A kiss where one or both characters cup the other's face. | act:oral
hickey | A bruised love bite, usually left on the neck or chest. | act:oral
interrupted_kiss | A kiss that gets cut off by a surprise, intrusion, or shock. | act:oral
intimate_kiss | A kiss charged with deep emotional significance and vulnerability, where the connection between partners feels profoundly personal. | act:oral
involuntary_kiss | A kiss imposed on a character who did not initiate or consent to it, whether through force, surprise, or circumstance. | act:oral
kiss_and_whimper | A kiss accompanied by soft noises of need or sensitivity. | act:oral
kiss_on_belly | A kiss placed on the stomach or navel, an affectionate or worshipful gesture often associated with body appreciation, pregnancy themes, or tender post-coital intimacy. | act:oral
kiss_on_clit | A soft, deliberate kiss placed directly on the clitoris, treating the most sensitive point with gentle reverence. | act:oral
kiss_on_hand | A courtly or romantic kiss placed on the back of a partner's hand, evoking chivalry, devotion, or formal respect. | act:oral
kiss_on_penis | A soft, tender kiss placed on the shaft or head of the penis, a gentle worshipful gesture rather than active oral sex. | act:oral
kiss_on_tail | A kiss placed on a character’s tail—affectionate or teasing. | act:oral
kissing_during_orgasm | A kiss shared at the exact moment of climax, capturing the peak of both physical pleasure and emotional connection simultaneously. | act:oral
kissing_while_penetrating | Kissing that occurs simultaneously with active penetration, combining two intimate acts at once. | act:oral
lip_bite | Nibbling, tugging, or biting a partner's lip during a kiss, adding a playful or aggressive edge to the oral contact. | act:oral
lip_tease | Teasing near or around the lips before a full kiss. | act:oral
liplock | A sustained, sealed kiss where both partners' lips are pressed firmly together without breaking contact. | act:oral
lipstick_kiss_mark | A visible lip-shaped imprint left on the skin by coloured lipstick, marking where a kiss was planted. | act:oral
loving_kiss | A warm, caring kiss between characters who are clearly in love, radiating tenderness and emotional safety. | act:oral
lustful_kiss | A kiss driven by raw sexual desire and urgent need, where arousal overpowers tenderness. | act:oral
mouth_to_mouth | A straightforward closed or slightly-open kiss between two characters, lips directly meeting without distraction. | act:oral
multiple_kisses | Several kisses planted in rapid succession across a partner's face, body, or lips, conveying eager, overflowing affection. | act:oral
mutual_kissing | Both characters actively participating in and reciprocating the kiss equally, with neither being passive. | act:oral
neck_kiss | Kisses placed along the neck or throat, targeting one of the most sensitive and vulnerable erogenous zones. | act:oral
nose_kiss | A playful, endearing kiss placed on the tip of the nose, one of the most innocent and wholesome kiss types. | act:oral
one_sided_kiss | One character kisses while the other remains passive or surprised. | act:oral
passionate_kiss | An intensely heated kiss fuelled by overwhelming desire, where both partners press hungrily into each other. | act:oral
pinned_kiss | One character holding another down by wrists, shoulders, or hips while kissing them deeply. | act:oral
reunion_kiss | An emotionally charged kiss shared when partners are reunited after time apart, often intense and desperate with the weight of separation behind it. | act:oral
romantic_kiss | A kiss expressing love, tenderness, and emotional depth rather than raw lust, with the focus on the emotional bond between the partners. | act:oral
shower_of_kisses | A rapid succession of kisses planted all over a partner's face, neck, or body in an exuberant display of affection. | act:oral
shy_kiss | A hesitant, partial kiss delivered with obvious nerves, often between new lovers or the inexperienced. | act:oral
stolen_kiss | A quick, unexpected kiss snatched in a bold moment before the recipient can react, often catching them off guard. | act:oral
tearful_kiss | A kiss shared while one or both partners are crying. | act:oral
upside_down_kiss | One character kissing another from above while inverted, the classic Spider-Man angle with lips meeting at reversed orientation. | act:oral

================================================================================
ROMANCE & AFFECTION
================================================================================
after_kiss | The moments immediately following a kiss, often showing lingering closeness, parted lips, a saliva strand, or flushed expressions. | act:romance
angry_sex | Rough, aggressive sex driven by anger, frustration, or emotional conflict between the partners. | act:romance
arrow_through_heart | A visual symbol depicting a heart pierced by an arrow, referencing Cupid's mythology. | act:romance
blowing_kiss | A character kissing their fingertips and blowing the kiss toward the viewer or another character, a flirtatious and playful gesture. | act:romance
blush | Visible reddening or flushing of the cheeks and face, signalling shyness, embarrassment, arousal, or emotional overwhelm. | act:romance
bouquet | An arranged bundle of flowers, typically being given as a romantic gift or held as a prop in a romantic scene. | act:romance
canon_couple | Characters who are in an officially established relationship within their source material, not a fan-created pairing. | act:romance
caress | Gentle, tender stroking or touching of a partner's body with affectionate intent. | act:romance
coiling | Wrapping around another, often with tails or snake-like bodies. | act:romance
cuddling | Characters snuggled together in a warm, sustained embrace, holding each other close for comfort and affection. | act:romance
ear_lick | Licking a partner's ears as an intimate, sensual act that exploits the ear's sensitivity to warm, wet contact. | act:romance
embrace | A general term for wrapping arms around another in a hold, broader and more neutral than cuddling or hug. | act:romance
entwined_tails | Two characters' tails intertwined or wrapped around each other in a romantic gesture, the furry equivalent of holding hands. | act:romance
eye_contact | Sustained mutual gaze during sex or an intimate moment, amplifying emotional intensity regardless of what else is happening. | act:romance
face_lick | Licking across a partner's face, a canine-style affectionate behaviour translated into intimate art. | act:romance
face_to_face | Two characters positioned directly facing each other with close proximity, creating an intimate or confrontational framing. | act:romance
feeding | One character placing food or drink into another's mouth by hand, conveying care, dominance, or trust. | act:romance
finger_lick | Sensual licking of a partner's fingers, running the tongue along each digit or between them. | act:romance
flower | A flower present in the scene as a symbol of romance, beauty, or affection. | act:romance
flower_in_hair | A flower tucked into the hair or behind an ear as a decorative adornment, adding a touch of natural beauty and romantic or tropical flair to the character's appearance. | act:romance
flower_in_mouth | A flower held between the teeth or lips in a flirtatious, dramatic, or tango-inspired pose. | act:romance
hairjob | Sexual stimulation of the penis using a partner's hair, wrapping or sliding it along the shaft. | act:romance
hand_heart | Hands positioned together to form a heart shape with the fingers and thumbs, a cute gesture of love directed at the viewer or a partner. | act:romance
happy_sex | Sex where characters express joy or love, not just lust. | act:romance
heart_reaction | Visual heart symbols or effects appearing around or from a character, representing a strong emotional love or infatuation response. | act:romance
heartbeat | A visual representation of a racing or pounding heartbeat, shown through motion lines, sound effects, or a glowing chest. | act:romance
holding_flower | A character holding a single flower, typically offering it as a romantic gift or clutching it shyly. | act:romance
hugging_from_behind | One character wrapping their arms around another from behind in a back-hug, with the hugger's chest pressed against the other's back. | act:romance
imminent_kiss | Two characters a breath apart, noses brushing or lips hovering, the moment held just before contact. | act:romance
index_to_index | Two characters touching the tips of their index fingers together in a gentle, tentative connection. | act:romance
interlocked_fingers | Fingers woven together with a partner's in an interleaved grip, a more intimate and deliberate form of hand-holding than a simple clasp. | act:romance
intimate | A thematic tag indicating the scene conveys deep emotional closeness and vulnerability between the characters. | act:romance
kiss_mark | A visible lip-shaped mark left on the skin after a kiss, whether from lipstick, suction, or artistic representation. | act:romance
kissing_cheek | A light, affectionate kiss placed on the cheek, interchangeable with cheek_kiss. | act:romance
kissing_hand | A formal or romantic gesture of pressing one's lips to a partner's hand, interchangeable with kiss_on_hand. | act:romance
looking_at_partner | One character gazing at their partner with visible affection, desire, or emotional depth, their attention fully fixed on the other person. | act:romance
love | The central emotional theme of the artwork, with romantic love clearly expressed between or by the characters through gestures, gaze, or context. | act:romance
love_bite | A playful or passionate bite on the skin, often on the neck or shoulder, that may leave a visible mark or bruise. | act:romance
nervous | Shy or unsure behavior, often related to romantic tension. | act:romance
nose_to_nose | Two characters pressing their noses together in a tender, face-to-face gesture of closeness, the nose-boop equivalent of an Inuit greeting. | act:romance
nuzzling | Pressing and rubbing the nose or muzzle affectionately against a partner's body, face, or fur. | act:romance
portrait | A composition focused on a close-up or bust-length view of a character, emphasising their face, expression, and upper body. | act:romance
romantic | A thematic tag indicating the artwork's primary mood or focus is romance, with tender, loving, or passionate emotional energy pervading the scene. | act:romance
romantic_ambiance | The scene's environmental details are deliberately set to create a romantic atmosphere, such as candlelight, rose petals, sunset lighting, or soft music visual cues. | act:romance
romantic_couple | Two characters depicted as a romantic pair, with their body language, proximity, and context clearly establishing them as lovers or romantic partners. | act:romance
rose_(flower) | A rose present in the scene, the most universally recognised flower symbol of romantic love and passion. | act:romance
rose_in_mouth | A rose held between the teeth in a dramatic, tango-inspired gesture of passion and theatrical romance. | act:romance
shy | A character displaying timid, bashful, or self-conscious body language, often with averted gaze, fidgeting, or partial hiding. | act:romance
surprise_kiss | A kiss that catches the recipient completely off guard, often shown through wide eyes, frozen posture, or a startled expression. | act:romance
tail_coil | One character's tail wrapped fully around a partner's body, possessive and enveloping rather than a simple brush. | act:romance
tail_hug | A character wrapping their tail around another’s body in an embrace, using the tail as an additional limb for affection. | act:romance
wing_hug | A winged character folding their wings around another person in a protective, enveloping embrace. | act:romance

================================================================================
GRAB & TOUCH ACTIONS
================================================================================
arm_around_waist | One character's arm wrapped around another's waist, pulling them close in a possessive, protective, or romantic side-embrace. | act:touch
back_grab | Grabbing at a partner's back, gripping the shoulder blades, spine, or lower back with intensity. | act:touch
breast_lick | Running the tongue across the surface of a breast, circling the areola, or lapping at the nipple. | act:touch
covering_another | One character shielding another's body with their own, protective or possessive, usually their nudity or vulnerability. | act:touch
covering_chest | A character crossing arms or hands over their chest, hiding breasts or bare pectorals from view. | act:touch
elbow_grab | Gripping a partner's elbow to steer, steady, or restrain them, a controlling gesture that directs their movement. | act:touch
forearm_grab | Gripping a partner's forearm firmly, whether to restrain, pull closer, or stop their movement. | act:touch
grabbing_arms | Forcefully seizing both of a partner's arms at once, typically to pin, restrain, or control their movement. | act:touch
grabbing_both_ankles | Seizing both of a partner's ankles simultaneously to lift, spread, or pin their legs. | act:touch
grabbing_both_knees | Gripping both of a partner's knees to push them apart, hold them in position, or fold them toward the chest. | act:touch
grabbing_both_thighs | Gripping both of a partner's thighs to lift, spread, or hold them in position during sex. | act:touch
grabbing_elbows | Gripping both of a partner's elbows, typically pulling them behind the back for restraint or holding them in place. | act:touch
grabbing_forearms | Seizing both of a partner's forearms simultaneously for restraint or leverage. | act:touch
grabbing_wrists | Seizing both of a partner's wrists, either one in each hand or both in a single grip, to pin or restrain them. | act:touch
hair_lick | Licking or running the tongue through a partner's hair as an unusual grooming or affection behaviour. | act:touch
hand_grab | Seizing another character's hand with force or urgency, distinct from affectionate hand-holding. | act:touch
hand_on_ankle | A hand placed on or around a partner's ankle, whether to hold a leg in position, caress, or as a light restraining touch. | act:touch
hand_on_arm | A hand resting on or gripping a partner's upper or lower arm as a touch of reassurance, guidance, or casual intimacy. | act:touch
hand_on_cheek | A hand gently cupping or resting against a partner's cheek, one of the most tender and intimate touch gestures. | act:touch
hand_on_chin | A hand placed under or around a partner's chin, tilting their face upward for eye contact, a kiss, or to assert gentle dominance. | act:touch
hand_on_elbow | A hand placed on a partner's elbow, a subtle guiding or steadying touch. | act:touch
hand_on_face | A hand placed against a partner's face, covering or cradling the cheek, jaw, or forehead. | act:touch
hand_on_forearm | A hand resting on or gripping the forearm, a moderate-intimacy touch that can signal reassurance, restraint, or casual connection. | act:touch
hand_on_hand | A light touch where one hand rests atop or gently touches another's hand, more tentative than full hand-holding. | act:touch
hand_on_neck | A hand placed on the neck, ranging from a gentle caress at the nape to a firm grip near the throat. | act:touch
hand_on_shin | A hand placed along the front of the lower leg between knee and ankle. | act:touch
hand_on_side | A hand placed on the flank or side of the torso between the ribs and hip. | act:touch
hand_on_stomach | A hand placed flat on a partner's belly or abdomen, either resting gently or pressing with intent. | act:touch
hand_on_throat | A hand placed on a partner's throat, resting or applying light pressure, not necessarily choking. | act:touch
hand_on_torso | A hand placed anywhere on the front of the torso, covering the chest, ribs, or stomach area. | act:touch
hands_on_sides | Both hands placed on either side of a partner's torso at the flanks, a symmetrical grip often used while facing each other. | act:touch
hands_on_torso | Both hands placed on a partner's torso, exploring or resting against the chest, ribs, or abdomen. | act:touch
hands_on_waist | Both hands gripping a partner's waist on either side, a strong possessive hold commonly used to control movement during sex or pull someone into a kiss. | act:touch
knee_grab | A firm grip placed on or around a partner's knee, often to push it aside, lift it, or hold the leg in position. | act:touch
lifted_by_limb | A character held aloft by a single arm or leg, with their full weight suspended from the gripped limb. | act:touch
lifted_by_neck | A character hoisted off the ground by a grip around their neck, an extremely aggressive and dominant display of power. | act:touch
sitting_on_penis | When the receiving partner is sitting directly on a penis. | act:touch
tentacle_grab | A tentacle wrapping around and gripping a body part, restraining or holding a character in place. | act:touch
touching_hair | Gently brushing, stroking, or running fingers through a partner’s hair as a tender intimate gesture. | act:touch

================================================================================
PHYSICAL ACTIONS
================================================================================
ankle_grab | A character's ankle seized in a firm grip, typically to drag, trip, restrain, or reposition them. | act:physical
arm_grab | A character's arm seized by another, whether to restrain, pull closer, or stop them from leaving. | act:physical
ball_grab | A hand seizing or squeezing the testicles, ranging from a playful or sensual cup to an aggressive controlling grip. | act:physical
belly_grab | A hand gripping or clutching the belly or stomach area, whether in a possessive hold from behind, a playful squeeze, or a tight grip during intense sex. | act:physical
breast_grab | A hand seizing or squeezing a breast with a firm, active grip rather than a gentle touch. | act:physical
butt_grab | A hand actively squeezing or gripping the buttocks with force, distinct from the lighter hand_on_butt by its aggressive, kneading quality. | act:physical
chest_grab | A hand gripping or seizing the chest area, covering pectorals or the general torso front. | act:physical
ear_grab | Seizing a character's ear or ears with a hand, whether playfully tugging, pulling to direct attention, or gripping during rough play. | act:physical
foot_grab | A hand seizing or holding a character's foot, whether to restrain, tickle, worship, or reposition during sex. | act:physical
hair_grab | A hand fisting or gripping a character's hair, pulling their head back or directing their movement. | act:physical
head_grab | A hand or hands gripping a character’s head, controlling its position and movement. | act:physical
hip_grab | Both hands gripping a character's hips firmly, the primary leverage point for pulling them onto a penetration or controlling the rhythm of thrusting. | act:physical
horn_grab | Seizing a character's horns as handles, used for leverage, control, or directing the head during oral sex. | act:physical
leg_grab | A hand gripping any part of a character's leg without specificity about the exact location. | act:physical
neck_grab | A hand gripping around a character's neck, a highly charged dominance gesture that controls breathing and conveys absolute power. | act:physical
pec_grab | Gripping or squeezing the pectoral muscles, typically on a male or flat chest. | act:physical
penis_grab | A hand seizing or gripping the penis firmly, whether to stroke, aim, restrain, or simply assert control. | act:physical
raised_leg_grab | Gripping a partner’s leg that is already raised or lifted, holding it in the elevated position for access or display. | act:physical
shoulder_grab | A hand firmly gripping the shoulder to brace, restrain, or turn a character. | act:physical
tail_grab | Seizing a character's tail in a firm grip, whether to yank, restrain, or playfully tug. | act:physical
thigh_grab | A hand gripping the upper leg firmly, often to spread legs wider, pull a partner closer, or hold them in position during sex. | act:physical
throat_grab | A hand specifically gripping the front of the throat, distinct from neck_grab by targeting the windpipe area with clear choking or breath-play implications. | act:physical
torso_grab | A broad grip around the torso or midsection, wrapping around the body's core. | act:physical
waist_grab | Seizing a character around the waist with both hands, a possessive and controlling hold at the body's narrowest point. | act:physical
wrist_grab | A hand clamping down on one or both wrists, a classic restraint that immobilises the hands and asserts control. | act:physical

================================================================================
GENDER & FORM PENETRATION
================================================================================
ambiguous_penetrated | A character of ambiguous or undetermined gender in the receiving role during penetration. | act:penetration
ambiguous_penetrating | A character of ambiguous or undetermined gender in the active role during penetration. | act:penetration
ambiguous_penetrating_ambiguous | Penetration between two characters whose genders are both undetermined or deliberately unclear. | act:penetration
ambiguous_penetrating_andromorph | An ambiguously-gendered character penetrating an andromorph (masculine-presenting intersex) partner. | act:penetration
ambiguous_penetrating_female | An ambiguously-gendered character penetrating a female partner, the gender asymmetry explicit. | act:penetration
ambiguous_penetrating_gynomorph | An ambiguously-gendered character penetrating a gynomorph (feminine-presenting intersex) partner. | act:penetration
ambiguous_penetrating_herm | An ambiguously-gendered character penetrating a herm (full hermaphrodite) partner. | act:penetration
ambiguous_penetrating_intersex | An ambiguously-gendered character penetrating an intersex partner of any configuration. | act:penetration
ambiguous_penetrating_male | An ambiguously-gendered character penetrating a male partner, the gender ambiguity central to the framing. | act:penetration
